word,definition
mama,"Femeie considerata in raport cu copiii ei, nume pe care i-l dau copiii acestei femei cand i se adreseaza sau cand vorbesc despre dansa."
manz,Puiul (de sex masculin al) iepei.
mapa,Harta geografica.
masa,"Mobila formata dintr-o placa dreptunghiulara, patrata sau rotunda, sprijinita pe unul sau pe mai multe picioare si pe care se mananca, se scrie."
meci,Intrecere sportiva disputata intre doua persoane sau intre doua echipe.
melc,"Nume dat mai multor specii de gasteropode din increngatura molustelor, care au corpul moale, de obicei aparat de o cochilie rasucita in spirala, si patru tentacule sensibile, la cap."
miau,Cuvant care imita strigatul pisicii.
mica,Care este sub dimensiunile obisnuite; de proportii reduse.
miel,"Puiul (mascul al) oii, in primele luni de la nastere."
miez,"Parte interioara (moale) a unui fruct, a painii."
miop,(Persoana) care sufera de miopie.
mire,Nume purtat de barbat in ziua sau in preajma casatoriei sale.
mirt,"Arbust ornamental mediteraneean cu frunze alungite, persistente, cu flori mici, albe si parfumate."
miza,Suma de bani pe care o depune fiecare dintre participantii la unele jocuri de noroc si care intra in posesia castigatorului.
moda,"Obicei, deprindere colectiva, specifica la un moment dat unui mediu social."
moft,"Capricii, fandoseli, nazuri, fasoane."
must,"Suc dulce care nu a inceput inca sa fermenteze, obtinut prin zdrobirea si presarea boabelor de struguri sau, prin extensiune, a altor fructe ori plante."
muta,"Care nu poate vorbi, care este lipsit de facultatea vorbirii."
muza,Inspiratie poetica.
nasa,"Persoana care tine in brate pruncul in timpul botezului, devenind astfel parintele lui spiritual."
nauc,"Ametit, buimacit (din cauza unei emotii puternice, a unei dureri, a unui zgomot etc.)."
naut,"Planta din familia leguminoaselor, cu frunze compuse, flori liliachii sau albe si fructe pastai, care contin seminte de forma sferica neregulata."
nava,"Vehicul construit, amenajat si echipat pentru a pluti si a se deplasa pe) apa, in scopul efectuarii transporturilor de marfuri sau de oameni, executarii unor lucrari tehnice."
nerv,"Formatiune anatomica de transmisie a impulsului nervos, care uneste sistemul nervos central cu periferia organismului."
nord,Unul dintre cele patru puncte cardinale aflat in directia Stelei Polare.
nori,"Masa (delimitata) de vapori sau de picaturi de apa, de cristale de gheata aflate in suspensie in atmosfera."
nota,"A aprecia pe cineva sau rezultatele cuiva prin note, calificative."
noxa,"Agent, factor sau imprejurare cu actiune daunatoare asupra organismului, care se raspandeste in atmosfera de obicei in timpul diferitelor procese tehnologice."
nuca,Fructul nucului.
nuga,"Preparat de cofetarie facut din albus de ou, zahar (sau miere) si nuci (sau alune), pus de obicei intre doua vafele."
nuia,"Vergea lunga, subtire si flexibila, obtinuta dintr-o tulpina sau dintr-o ramura tanara de copac."
oaie,"Animal domestic rumegator, crescut pentru lana, lapte si carne."
oala,"Vas de lut ars, de metal, de portelan etc., de obicei cu gura larga si cu inaltimea mai mare decat largimea, folosit in gospodarie pentru pregatirea, pastrarea etc. bucatelor."
