word,definition
linie,"Trasatura simpla si continua (de forma unui fir) facuta pe o suprafata cu tocul, cu creta, cu creionul."
linte,"Planta erbacee din familia leguminoaselor, cu flori albe-albastrui si fructul o pastaie cu seminte plate, comestibile."
lipie,"Paine rotunda si plata, putin crescuta, cu coaja multa si miez putin."
lista,A inscriei intr-o lista.
local,Particular si caracteristic pentru un anumit loc; privitor la un loc determinat; dintr-un anumit loc.
logic,Potrivit cu regulile logicii.
lotus,"Nume dat mai multor plante acvatice cu flori albastre, mari, placut mirositoare."
lupta,A se bate corp la corp cu cineva.
luxos,"Bogat, fastuos, somptuos."
lycra,Fir elastic care confera unei tesaturi o mare elasticitate.
magar,"Animal din familia calului, mai mic decat acesta, cu parul de obicei sur, capul mare si urechile lungi."
magic,"Care tine de magie, privitor la magie."
magie,"Totalitatea procedeelor, formulelor, riturilor prin care se invoca forte supranaturale spre a produce miracole; practica acestor procedee, formule."
maior,"Grad in ierarhia ofiterilor, superior celui de capitan si inferior celui de locotenent-colonel; ofiter care are acest grad."
major,Care a implinit varsta legala pentru a putea beneficia prin lege de drepturi civile si politice depline.
malai,Faina de porumb.
mamut,De mari proportii.
mango,"Fructul comestibil al acestui arbore, cu un sambure central, pulpa galbena pana la portocalie, parfumata si suculenta, bogat in vitaminele B, C si D."
marar,"Planta erbacee aromatica din familia umbeliferelor, cu frunze filiforme si cu flori galbene, folosita drept condiment."
marca,"A face, a aplica un semn caracteristic pe un obiect, pe un animal pentru a-l deosebi de altele."
marfa,Produs al muncii destinat schimbului prin intermediul vanzarii-cumpararii.
masca,"Bucata de stofa, de matase, de dantela, de carton (infatisand o fata omeneasca sau figura unui animal) cu care isi acopera cineva faaa sau o parte a ei)."
masea," Fiecare dintre dintii mari (terminati cu o suprafata plata) fixati in partea posterioara a maxilarelor, dupa canini."
matur,"Ajuns la deplina dezvoltare (fizica si intelectuala); cu judecata, cu experienta."
medic,Persoana care profeseaza medicina pe baza unor studii superioare de specialitate; specialist in medicina.
medie,Valoare mijlocie a mai multor marimi.
menta,"Numele mai multor plante erbacee (medicinale) din familia labiatelor, cu frunze dintate si cu flori puternic mirositoare."
metru,Unitate fundamentala de masura pentru lungime din sistemul metric.
minge,"Obiect sferic (rar ovoidal), de diverse dimensiuni si greutati, confectionat din cauciuc, piele, celuloid, material plastic etc. (umplut cu aer)."
minor,Care nu a implinit inca varsta majoratului.
minus,Mai putin.
moara,Instalatie special amenajata pentru macinarea cerealelor.
molid,"Arbore rasinos, din familia pinaceelor, inalt pana la 50 de metri, cu coroana piramidala, frunzele aciculare si conuri care atarna."
muzeu,"Institutie care se ocupa cu strangerea, pastrarea, cercetarea, punerea in valoare si expunerea obiectelor care prezinta interes istoric, stiintific, artistic."
namol,"Sediment moale alcatuit din particule fine, de culoare inchisa, cu miros caracteristic si uneori cu proprietati terapeutice, depus pe fundul bazinelor acvatice."
nativ,Natural.
nebun,"Lipsit de judecata dreapta, de ratiune."
negru,"Care nu reflecta lumina, care are culoarea cea mai inchisa."
ninge,A cadea zapada.
ninja,"(Luptator) bine antrenat, agresiv."
nisip,"Roca sedimentara neconsolidata, provenita prin dezagregarea unor minerale."
noroc,"Soarta, ursita, destin (favorabil)."
nufar,"Numele a doua plante erbacee acvatice cu petiolul foarte lung, cu frunze late care plutesc la suprafata apei, una avand flori mari albe, cu miros placut."
nunta,Casatorie (religioasa); ceremonial si petrecere organizate cu prilejul unei casatorii (religioase).
oarba,"Lipsit de simtul vazului, care nu vede (deloc)."
oblic,Inclinat fata de o dreapta sau fata de un plan.
obraz,Partea anterioara a capului omenesc.
omida,"Larva fluturilor, daunatoare pomilor, cu corpul alcatuit din segmente, uneori acoperit cu peri."
opaca,"Prin care nu poate trece lumina, lipsit de transparenta."
orala,"Care se refera la gura, care apartine gurii."
orfan,Care a pierdut pe unul dintre parinti sau pe amandoi.
organ,"Parte din corpul unei fiinte vii, care indeplineste una sau mai multe functii vitale sau utile vietii."
otava,"Substanta care, introdusa in organism (in cantitati relativ reduse), provoaca, prin actiunea sa chimica, tulburari importante, leziuni grave si uneori moartea."
ovala,Care are forma alungita asemanatoare cu a oului de gaina.
pacat,"Calcare a unei legi sau a unei porunci bisericesti, abatere de la o norma (religioasa)."
pahar,"Vas de sticla, de metal, de material plastic, de diferite forme ori marimi, din care se bea apa sau alte lichide."
palid,Care este fara culoare.
palma,"Partea interioara a mainii, cuprinsa intre articulatia pumnului si varful degetelor."
panou,"Plansa de lemn, de carton de marimi variate, pe care se lipesc afise."
panta,"Portiune de teren cu suprafata inclinata fata de planul orizontal, care formeaza de obicei versantul unei forme de relief."
panza,"Tesatura facuta din fire de bumbac, de in, de canepa, din care se confectioneaza albituri de corp, de pat."
papuc,"Incaltaminte usoara (fara toc), care se poarta in casa."
pasaj,"Spatiu amenajat intre doua randuri de cladiri sau coridor al unei cladiri asezat la nivelul strazii, pe care trec pietoni sau, rar, vehicule dintr-o strada in alta."
